"id","name"
"1","Anonymous"
"3","Falcon24"
"5","dackz"
"6","SimonBob"
"7","Soap on a Rope"
"8","reidman"
"9","Anthadd"
"10","emilio"
"11","Giampi"
"12","Skulryk"
"13","JamesPicard_007"
"14","BlackLeader"
"15","DarthDarthBinks"
"16","Giovanni"
"17","Ness_Prime"
"18","Fishsticks"
"19","Flying Zamboni 2"
"20","Freed"
"21","SLing"
"22","Naeroon"
"24","Wampa"
"25","TonyMontana"
"26","shamansanchez"
"27","evolsoulx"
"30","Rune"
"31","Mattchu"
"32","STAREYe"
"33","Gauntlet"
"34","Kris"
"35","PappyCat"
"36","SkullkidLink"
"37","Rabid Dog"
"38","Squilburt"
"39","Veromakish"
"41","Marconius_Macaroni"
"43","Picky's #1 Fan"
"44","RPGDude777"
"45","ShadowX"
"46","Happy Happyist"
"47","Stigma"
"48","Falco"
"49","ROFISH"
"50","Everdraed"
"51","Kevin"
"52","DXTandP"
"53","shockwave"
"54","avenger339"
"55","Nevad"
"56","Ploqazxswm"
"57","Dragonair"
"58","TheFloppy/Doom"
"59","PsychicKid"
"60","SpazzMan"
"61","AndyAML"
"62","garfep"
"63","Tokage"
"64","SuperSpeedy"
"65","a_passerby"
"66","Grandpa"
"67","Luna"
"69","Justin"
"70","Coreyback"
"71","MogOfGlory"
"72","AoE"
"75","PoeTrader"
"76","Leeman"
"77","VoidofMind"
"78",
"79","Tim L"
"80","Hawien Shertz"
"81","n42"
"82","Starman Omega"
"84","Seifer"
"86","Agent""""Freaky""""Dulder"
"87","DarthBelch"
"88","Saotome_Ranma"
"89","Azzamacazza"
"90","GimeC"
"91","RiotingNerd"
"92","EB Espeon"
"93","DalaamPrince"
"94","Atticus"
"95","Squirl"
"96","Shy"
"97","RaSeb"
"98","bluecow"
"99","Flaming Turnip"
"100","TWDX"
"101","Crav"
"102","Static2007"
"103","Rick"
"104","WhoopA"
"105","Shadow_Tails"
"107","Darth-Paper-boy"
"108","JSP"
"110","rivid"
"111","GuyInSummers"
"112","BlackEagle"
"113","Ranger1"
"114","StarmanDeluxe"
"115","Carbon Dog"
"116","Goplat"
"117","EvilGiegue"
"118","zushiba"
"119","Picky"
"120","AnyoneEB"
"121","dungeonmaster"
"122","Wally Rus Assault"
"123","pfresh85"
"124","Jynt"
"125","Mr. Spoon"
"126","Gonmon"
"127","Doc Aquatic"
"128","Osman ^________^"
"129","Dog-N-Scotts"
"130","insomniacdude"
"131","EBounding"
"132","wasabimilkshake"
"133","Carparama"
"134","Ironstar"
"135","Hobbes"
"136","lsliql"
"137","Jonk"
"138","OnionRingOfDoom"
"139","Starstorm Trooper"
"140","Silent Wind of Doom"
"141","DevilishPope"
"142","Sephy"
"143","diospadre"
"144","L"
"145","MikeTheEBGuru"
"146","Jim"
"147","Dungeon Master"
"148","EB64"
"149","DrAndounts"
"150","Threek"
"151","Gau"
"152","Nesszero-OLD"
"153","NinjaBoyNeo"
"154","Madfish"
"155","fireside"
"156","kornflake"
"157","Frog"
"160","Satsy"
"161","michael_cayer"
"162","NessZilla"
"163","Wolfwood"
"164","Jaxzen"
"165","EBisumaru"
"166","letterbombguy"
"168","Mr. Accident"
"169","Corey"
"170","Frinky"
"171","dragondyne"
"172","Mr. Saturn"
"173","Weldar"
"174","EvilPuffBall"
"175","Mr PooFace"
"176","H. Armored Hamster"
"177","GoGoTenda"
"178","Umi"
"179","Cody Mewtwo I"
"180","T10"
"181","MuRdoc"
"182","zAxel"
"183","Frodis"
"184","ChrisDavis"
"185","EB0 Man"
"186","partynight11"
"187","Moochie"
"188","Jigglysama"
"190","polentah"
"191","Blue Antoid"
"192","Shin Akuma"
"193","Mr. Cheese"
"194","EarthBandDork"
"195","Jeff7"
"196","Jakob Dorof"
"197","Wizmo"
"198","JeffMan"
"199","Dali's Clock"
"200","Squirty"
"201","NeoShuu"
"202","StopNSwop"
"203","Colin-"
"204","SoulBlazer X"
"205","Zup"
"206","The Losar"
"207","Flynman"
"208","Chibi"
"209","faeriedust"
"210","DrAndonuts"
"211","BC"
"212","Cecil"
"213","Woo"
"214","Ness"
"215","Firestar99"
"217","JRokujuushi"
"218","AkumaGM"
"220","Motu"
"221","Carlos2"
"222","Elwood"
"224","The Enforcer"
"225","EarthboundMan"
"226","ssj_goku"
"227","SutterCane"
"229","element"
"230","AmzRigh"
"231","Usagi"
"232","What"
"233","eb-bballin-cig dude"
"234","Arad"
"235","Cromkayer"
"236","Kaepez"
"238","EB_Girl"
"239","Frnak"
"240","golbez"
"241","Pineapples"
"242","SqueezableTube"
"243","ZeptOr"
"245","djbrayster"
"246","DarthAndonuts"
"247","Amy"
"248","starman100"
"249","SSJMarioBros"
"250","Black Genesis"
"251","Eggy"
"252","AppleKid_3D"
"253","Daimyou"
"256","Fourside"
"257","Erik"
"258","dead_screem"
"259","Kyosuke"
"260","Jeff"
"261","Kokikero"
"262","StarKirby"
"263","Dakkon Blackblade"
"264","Ganbare Saturn"
"265","StarAngel"
"266","xfisjmg1"
"267","FordPrefect"
"268","Portgas D. Zoro"
"269","EBFan2000"
