"badge_id","user_id","created_at","updated_at"
"2","7005","2008-02-14 11:51:47","2008-02-14 11:51:47"
"2","5684","2008-02-14 11:51:47","2008-02-14 11:51:47"
"4","998","2008-02-15 06:57:38","2008-02-15 07:00:05"
"27","518","2008-07-06 13:22:12","2008-07-06 13:22:12"
"7","10","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","11","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","50","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","62","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","80","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","87","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","99","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","104","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","110","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","127","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","138","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","162","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","188","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","338","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","849","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","876","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","1763","2008-07-06 13:11:52","2008-07-06 13:11:52"
"7","8058","2008-07-06 13:11:52","2008-07-06 13:11:52"
"8","27","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","36","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","62","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","138","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","234","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","238","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","417","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","564","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","1763","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","1959","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","2573","2008-07-06 13:12:35","2008-07-06 13:12:35"
"8","2715","2008-07-06 13:12:35","2008-07-06 13:12:35"
"9","50","2008-07-06 13:13:16","2008-07-06 13:13:16"
"9","118","2008-07-06 13:13:16","2008-07-06 13:13:16"
"9","259","2008-07-06 13:13:16","2008-07-06 13:13:16"
"10","10","2008-07-06 13:13:55","2008-07-06 13:13:55"
"10","84","2008-07-06 13:13:55","2008-07-06 13:13:55"
"10","127","2008-07-06 13:13:55","2008-07-06 13:13:55"
"10","139","2008-07-06 13:13:55","2008-07-06 13:13:55"
"10","170","2008-07-06 13:13:55","2008-07-06 13:13:55"
"10","303","2008-07-06 13:13:55","2008-07-06 13:13:55"
"10","345","2008-07-06 13:13:55","2008-07-06 13:13:55"
"10","934","2008-07-06 13:13:55","2008-07-06 13:13:55"
"11","33","2008-07-06 13:14:14","2008-07-06 13:14:14"
"11","133","2008-07-06 13:14:14","2008-07-06 13:14:14"
"11","230","2008-07-06 13:14:14","2008-07-06 13:14:14"
"11","238","2008-07-06 13:14:14","2008-07-06 13:14:14"
"11","311","2008-07-06 13:14:14","2008-07-06 13:14:14"
"11","551","2008-07-06 13:14:14","2008-07-06 13:14:14"
"11","1643","2008-07-06 13:14:14","2008-07-06 13:14:14"
"12","1763","2008-07-06 13:14:28","2008-07-06 13:14:28"
"12","1763","2008-07-06 13:14:28","2008-07-06 13:14:28"
"13","9","2008-07-06 13:14:39","2008-07-06 13:14:39"
"13","95","2008-07-06 13:14:39","2008-07-06 13:14:39"
"13","1763","2008-07-06 13:14:39","2008-07-06 13:14:39"
"13","1763","2008-07-06 13:14:39","2008-07-06 13:14:39"
